                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0308,                 2.0237,                 1.3723,                 1.2185,                0.65184,                0.63761,                0.70579,                0.49042,                0.63892,                0.62844,                0.66283,                0.38476,                0.98765,                 2.1561,                 2.3323,                 1.1406,             0.00065333,             0.00065333,             0.00065333
                      1,                 1.1016,                  2.081,                 1.2667,                 1.2659,                0.62399,                0.50243,                0.59268,                0.36975,                0.51675,                0.38991,                0.38488,                0.13166,                 1.3235,                 3.6354,                 2.0807,                  1.439,              0.0012939,              0.0012939,              0.0012939
                      2,                 1.2306,                 2.1712,                 1.3313,                 1.3047,                0.72645,                 0.6822,                0.75361,                0.52079,                0.65525,                0.57339,                0.57844,                0.27447,                 1.1728,                  3.034,                 1.6943,                 1.3922,               0.001908,               0.001908,               0.001908
                      3,                 1.1917,                 2.1742,                 1.2473,                 1.3034,                0.69823,                0.63682,                0.68884,                0.46341,                0.71308,                0.60092,                0.61447,                0.31645,                 1.2639,                 2.4306,                 1.7246,                 1.4363,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.1635,                 1.9091,                 1.1565,                 1.2526,                0.70588,                0.70457,                0.72972,                 0.4685,                0.64084,                0.60567,                0.62886,                 0.3191,                 1.1556,                 2.4503,                 1.3637,                 1.3697,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1569,                 2.0144,                 1.1852,                 1.2808,                0.69393,                0.65138,                0.70119,                0.50391,                0.67647,                0.60092,                0.64742,                0.35049,                 1.0796,                  2.058,                 1.3804,                 1.2472,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.0995,                 1.8908,                 1.1066,                 1.2392,                0.80044,                0.66055,                0.76553,                0.52615,                0.76393,                0.63761,                0.69139,                0.36359,                  1.168,                 2.5091,                 1.2168,                 1.3433,               0.001802,               0.001802,               0.001802
                      7,                 1.1188,                 1.9817,                 1.0885,                 1.2641,                0.72584,                0.72867,                0.78791,                0.56679,                0.73787,                0.65596,                0.72748,                0.39239,                  1.026,                 1.9193,                 1.0987,                 1.1949,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.055,                 1.7973,                 1.0474,                 1.2283,                0.74074,                0.69463,                 0.7527,                0.55076,                0.76285,                0.63303,                0.69821,                0.38952,                 1.0226,                 1.9475,                 1.1837,                  1.176,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0416,                 1.7621,                 1.0016,                 1.2127,                0.76559,                0.65919,                0.79117,                0.58752,                0.82169,                0.60092,                0.71232,                0.38722,                 1.0543,                 2.1183,                 1.0051,                 1.1717,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0959,                 1.8041,                 1.0217,                 1.2461,                0.68691,                0.72018,                0.73482,                0.53238,                0.65931,                0.69266,                0.69186,                0.39807,                 1.0001,                 2.0237,                 1.1044,                   1.16,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0756,                  1.765,                0.98045,                 1.2332,                 0.7468,                0.74771,                0.80643,                0.61535,                0.80795,                0.65138,                0.75878,                0.47182,                0.90067,                 1.7505,                0.95533,                  1.105,               0.001604,               0.001604,               0.001604
                     12,                 1.0354,                 1.7102,                0.99079,                 1.2094,                0.80973,                0.75229,                0.83457,                0.64167,                0.79443,                0.73853,                0.80051,                0.50555,                0.89368,                 1.6208,                0.94365,                 1.1071,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0216,                 1.6454,                0.97143,                 1.1962,                0.77613,                0.74743,                0.78969,                0.57695,                0.74479,                0.70183,                0.71354,                0.43999,                0.99221,                 1.6902,                 1.0502,                 1.1801,              0.0015248,              0.0015248,              0.0015248
                     14,                0.99541,                 1.7067,                0.94051,                 1.1781,                0.77159,                 0.7283,                0.78073,                0.59561,                0.74471,                0.68349,                0.73195,                0.43327,                0.91506,                 1.6869,                0.99907,                 1.1033,              0.0014852,              0.0014852,              0.0014852
                     15,                      1,                  1.722,                0.93009,                 1.1845,                0.81217,                0.69266,                0.80386,                0.60916,                0.79213,                0.64677,                0.73844,                 0.4546,                 0.9246,                 1.6662,                0.93804,                 1.1185,              0.0014456,              0.0014456,              0.0014456
                     16,                0.97482,                  1.619,                0.92637,                 1.1667,                0.83215,                0.76147,                0.82551,                0.63044,                0.81101,                0.72936,                0.77806,                 0.4626,                 0.8803,                 1.6669,                0.92378,                 1.0715,               0.001406,               0.001406,               0.001406
                     17,                0.93086,                   1.63,                0.87627,                 1.1453,                0.81216,                0.73386,                0.81533,                0.63117,                0.72366,                0.69725,                 0.7389,                0.45511,                0.84114,                 1.6602,                0.92352,                 1.0663,              0.0013664,              0.0013664,              0.0013664
                     18,                0.91634,                 1.5659,                0.88998,                 1.1398,                0.81952,                0.72905,                0.82212,                 0.6312,                0.84652,                 0.7084,                0.80608,                0.53764,                0.84391,                 1.5069,                0.94998,                 1.0478,              0.0013268,              0.0013268,              0.0013268
                     19,                0.90299,                  1.571,                0.88396,                 1.1487,                0.79508,                0.74751,                 0.8057,                0.62375,                0.76442,                0.70183,                0.74901,                0.49405,                0.84526,                 1.5204,                0.95694,                 1.0508,              0.0012872,              0.0012872,              0.0012872
                     20,                0.89804,                 1.5152,                0.88844,                 1.1341,                0.81001,                0.70405,                0.79223,                  0.606,                 0.7837,                0.63761,                0.72179,                0.45043,                0.85304,                 1.6311,                0.91565,                 1.0545,              0.0012476,              0.0012476,              0.0012476
                     21,                0.90644,                 1.5593,                0.87876,                 1.1389,                0.77332,                0.81377,                0.82637,                0.65149,                0.74243,                0.78012,                0.77339,                0.48746,                0.81787,                   1.62,                0.86398,                 1.0582,               0.001208,               0.001208,               0.001208
                     22,                0.88579,                 1.5771,                0.85858,                 1.1209,                 0.8638,                0.72733,                0.84301,                0.67067,                0.77962,                0.75229,                0.80131,                 0.5256,                0.78645,                 1.5619,                0.83247,                 1.0234,              0.0011684,              0.0011684,              0.0011684
                     23,                0.85557,                 1.5524,                0.79911,                 1.1009,                0.76596,                0.74312,                 0.8123,                0.62936,                0.77069,                0.74771,                0.79638,                0.51582,                0.81828,                  1.487,                0.83412,                 1.0234,              0.0011288,              0.0011288,              0.0011288
                     24,                0.91121,                 1.5304,                0.81025,                 1.1251,                0.83429,                0.77064,                0.85397,                 0.6774,                 0.8039,                0.75221,                0.82061,                0.53126,                0.81334,                 1.5658,                0.78649,                  1.026,              0.0010892,              0.0010892,              0.0010892
                     25,                0.88998,                 1.4123,                0.78642,                 1.1371,                0.80208,                0.74771,                0.82233,                0.63434,                0.82696,                0.70151,                0.80147,                0.48964,                0.81594,                  1.604,                0.90253,                 1.0384,              0.0010496,              0.0010496,              0.0010496
                     26,                0.85815,                  1.404,                0.79596,                 1.1086,                 0.8268,                0.76147,                0.82857,                0.65302,                0.82685,                0.73853,                0.81949,                0.54784,                0.82377,                 1.5243,                0.82231,                 1.0501,                0.00101,                0.00101,                0.00101
                     27,                0.84848,                 1.4216,                0.77486,                 1.1045,                0.83547,                0.72208,                0.82397,                0.66342,                0.84935,                0.71101,                0.80348,                 0.4977,                0.78117,                 1.5782,                0.82565,                 1.0047,              0.0009704,              0.0009704,              0.0009704
                     28,                0.84504,                 1.5006,                0.78535,                 1.1109,                0.82744,                0.72588,                0.82248,                0.66499,                0.84819,                0.71101,                0.82682,                0.51736,                0.77757,                 1.4436,                0.86556,                 1.0017,              0.0009308,              0.0009308,              0.0009308
                     29,                0.80178,                 1.3537,                0.73379,                 1.0812,                0.80666,                0.75688,                0.83732,                0.67586,                0.80697,                0.76709,                0.82087,                0.56037,                0.77979,                 1.3663,                0.77888,                 1.0026,              0.0008912,              0.0008912,              0.0008912
                     30,                0.81318,                 1.4236,                0.74413,                 1.0954,                0.79318,                0.76606,                0.82501,                  0.654,                0.87046,                0.72477,                0.82135,                0.53341,                0.79681,                 1.4728,                0.80689,                 1.0308,              0.0008516,              0.0008516,              0.0008516
                     31,                0.79139,                  1.387,                0.71259,                 1.0833,                0.81841,                0.74771,                0.83498,                0.67386,                0.82343,                0.75229,                0.81132,                 0.5446,                 0.7675,                 1.4167,                0.80483,                 1.0141,               0.000812,               0.000812,               0.000812
                     32,                0.82324,                 1.4083,                0.74391,                 1.0863,                0.77335,                0.76606,                0.83951,                 0.6618,                0.76703,                0.77523,                0.81874,                0.53327,                 0.8312,                 1.4071,                0.82882,                 1.0366,              0.0007724,              0.0007724,              0.0007724
                     33,                0.79796,                 1.4155,                0.71405,                  1.079,                 0.8421,                0.73853,                0.84117,                0.65495,                0.82395,                0.73394,                0.80446,                0.52733,                0.82415,                 1.5799,                0.85025,                 1.0468,              0.0007328,              0.0007328,              0.0007328
                     34,                0.79837,                  1.301,                0.73461,                 1.0848,                0.72872,                0.78864,                0.81146,                0.64735,                0.75208,                0.80275,                0.81965,                0.55405,                0.81056,                 1.3688,                0.82235,                 1.0528,              0.0006932,              0.0006932,              0.0006932
                     35,                 0.7988,                 1.3724,                0.72744,                 1.0748,                0.79506,                 0.7652,                0.84132,                 0.6785,                0.79643,                0.77172,                0.84484,                0.55131,                  0.788,                 1.3499,                0.77148,                 1.0325,              0.0006536,              0.0006536,              0.0006536
                     36,                0.77966,                 1.3122,                0.72697,                 1.0789,                0.81035,                0.74771,                 0.8283,                  0.665,                0.77878,                  0.759,                0.82147,                0.56453,                0.78375,                 1.3013,                0.80385,                 1.0501,               0.000614,               0.000614,               0.000614
                     37,                0.75433,                 1.2237,                0.69335,                  1.057,                0.83077,                 0.7431,                0.83882,                0.67533,                0.82993,                0.73872,                0.83281,                 0.5841,                0.76971,                 1.2728,                0.79937,                  1.018,              0.0005744,              0.0005744,              0.0005744
                     38,                0.77788,                 1.2547,                0.68585,                 1.0836,                0.85531,                0.73853,                 0.8583,                0.70542,                0.87228,                0.75229,                0.85736,                0.60827,                0.75504,                 1.2949,                 0.7609,                 1.0117,              0.0005348,              0.0005348,              0.0005348
                     39,                0.76401,                 1.3596,                0.70247,                 1.0812,                0.81969,                0.75688,                0.84841,                0.68073,                0.83459,                0.77064,                0.82347,                0.55223,                0.79153,                 1.4844,                0.78111,                 1.0289,              0.0004952,              0.0004952,              0.0004952
